ISO8601,fromDate,toDate,bedtime,waketime,inBed,awake,fellAsleepIn,sessions,asleep,asleepAvg7,efficiency,efficiencyAvg7,quality,qualityAvg7,deep,deepAvg7,sleepBPM,sleepBPMAvg7,dayBPM,dayBPMAvg7,wakingBPM,wakingBPMAvg7,hrv,hrvAvg7,sleepHRV,sleepHRVAvg7,SpO2Avg,SpO2Min,SpO2Max,respAvg,respMin,respMax,tags,notes
2022-01-20T20:59:59-07:00,"Wednesday, Jan 19, 2022","Thursday, Jan 20, 2022",2022-01-19 23:20:00,2022-01-20 05:59:00,06:39:00,00:17:00,00:00:00,1,06:22:00,07:51:17,95.7,90.7,05:29:13,06:09:13,02:32:48,02:16:35,58.3,60.9,67.1,72.8,56.0,58.9,,,39,31,,,,,,,,
2022-01-21T20:59:59-07:00,"Thursday, Jan 20, 2022","Friday, Jan 21, 2022",2022-01-20 22:15:00,2022-01-21 07:49:00,09:34:00,01:36:00,00:00:00,1,07:58:00,07:49:51,83.3,88.7,06:00:05,06:02:27,00:46:15,01:53:37,59.5,61.0,75.8,73.3,57.0,58.7,44,36,40,31,,,,,,,,
2022-01-22T20:59:59-07:00,"Friday, Jan 21, 2022","Saturday, Jan 22, 2022",2022-01-21 22:44:00,2022-01-22 06:33:00,07:49:00,01:03:00,00:00:00,1,06:46:00,07:33:08,86.6,88.4,05:29:45,05:55:53,01:49:18,01:49:27,72.4,63.0,77.2,73.7,74.0,61.0,,,20,30,,,,,,,,
2022-01-23T20:59:59-07:00,"Saturday, Jan 22, 2022","Sunday, Jan 23, 2022",2022-01-22 21:42:00,2022-01-23 06:27:00,08:45:00,00:02:00,00:00:00,1,08:43:00,07:40:00,99.6,91.9,06:47:22,06:06:40,02:38:29,02:01:09,60.0,62.6,67.9,73.5,53.0,60.0,,,35,31,,,,,,,,
2022-01-24T20:59:59-07:00,"Sunday, Jan 23, 2022","Monday, Jan 24, 2022",2022-01-23 22:00:00,2022-01-24 06:59:00,08:59:00,00:12:00,00:00:00,1,08:47:00,07:57:34,97.8,91.5,06:22:04,06:14:52,02:00:27,02:03:23,56.8,62.2,71.3,72.8,56.0,59.4,,,44,32,,,,,,,,
2022-01-25T20:59:59-07:00,"Monday, Jan 24, 2022","Tuesday, Jan 25, 2022",2022-01-24 22:44:00,2022-01-25 05:52:00,07:08:00,00:00:00,00:00:00,1,07:08:00,07:46:00,100.0,92.9,05:48:37,06:07:17,02:27:35,01:58:02,57.3,61.5,74.4,72.8,56.0,59.3,,,38,34,,,,,,,,
2022-01-26T20:59:59-07:00,"Tuesday, Jan 25, 2022","Wednesday, Jan 26, 2022",2022-01-25 22:00:00,2022-01-26 06:47:00,08:47:00,00:16:00,00:00:00,1,08:31:00,07:45:00,97.0,94.3,06:30:25,06:03:56,01:45:12,02:00:00,56.5,60.1,74.4,72.6,57.0,58.4,,,59,39,,,,,,,,
2022-01-27T20:59:59-07:00,"Wednesday, Jan 26, 2022","Thursday, Jan 27, 2022",2022-01-26 22:45:00,2022-01-27 05:42:00,06:57:00,00:15:00,00:00:00,1,06:42:00,07:47:51,96.4,94.4,05:27:01,06:03:37,02:28:53,01:59:27,58.5,60.1,75.4,73.8,54.0,58.1,,,39,39,,,,,,,,
2022-01-28T20:59:59-07:00,"Thursday, Jan 27, 2022","Friday, Jan 28, 2022",2022-01-27 22:22:00,2022-01-28 06:41:00,08:19:00,00:47:00,00:00:00,1,07:32:00,07:44:08,90.6,95.4,05:43:23,06:01:14,03:15:52,02:20:49,58.3,60.0,71.6,73.2,57.0,58.1,,,44,40,,,,,,,,
2022-01-29T20:59:59-07:00,"Friday, Jan 28, 2022","Saturday, Jan 29, 2022",2022-01-28 23:00:00,2022-01-29 04:15:00,05:15:00,00:21:00,00:00:00,1,04:54:00,07:28:08,93.3,96.4,04:00:00,05:48:25,00:15:28,02:07:25,68.1,59.4,78.1,73.3,65.0,56.9,,,24,40,,,,,,,,
